path,sentence
voice/Trâm_Bật đèn 1 (2).wav,Bật đèn một
voice/tat_den_2 (3).wav,Tắt đèn hai
voice/tat_den_1 (2).wav,Tắt đèn một
voice/Trâm_Bật đèn 1 (3).wav,Bật đèn một
voice/Trâm_Bật đèn 2.wav,Bật đèn hai
voice/Trâm_Bật đèn 2 (2).wav,Bật đèn hai
voice/Trâm_Tắt đèn 1.wav,Tắt đèn một
voice/Trâm_Đóng cửa (3).wav,Đóng cửa
voice/dong_cua (2).wav,Đóng cửa
voice/Trâm_Tắt đèn 1 (2).wav,Tắt đèn một
voice/Trâm_Đóng cửa (2).wav,Đóng cửa
voice/bat_den_2 (3).wav,Bật đèn hai
voice/dong_cua.wav,Đóng cửa
voice/tat_den_2 (2).wav,Tắt đèn hai
voice/mo_cua (3).wav,Mở cửa
voice/Trâm_Đóng cửa.wav,Đóng cửa
voice/bat_den_1 (3).wav,Bật đèn một
voice/Trâm_Mở cửa (2).wav,Mở cửa
voice/Trâm_Tắt đèn 1 (3).wav,tắt đèn một
voice/tat_den_1 (3).wav,Tắt đèn một
voice/bat_den_1.wav,Bật đèn một
voice/bat_den_2.wav,Bật đèn hai
voice/Trâm_Bật đèn 2 (3).wav,Bật đèn hai
voice/mo_cua (2).wav,Mở cửa
voice/tat_den_1.wav,Tắt đèn một
voice/tat_den_2.wav,Tắt đèn hai
voice/mo_cua.wav,Mở cửa
voice/bat_den_1 (2).wav,Bật đèn một
voice/Trâm_Bật đèn 1.wav,Bật đèn một
voice/Trâm_Tắt đèn 2 (2).wav,Tắt đèn hai
voice/Trâm_Tắt đèn 2.wav,Tắt đèn hai
voice/Trâm_Mở cửa (3).wav,Mở cửa
voice/bat_den_2 (2).wav,Bật đèn hai
voice/Trâm_Mở cửa.wav,Mở cửa
voice/Trâm_Tắt đèn 2 (3).wav,Tắt đèn hai
voice/dong_cua (3).wav,Đóng cửa
